expediente,categoria,numero,fragmento
SUP-JDC-858/2024,rp,2,"relacionados con el proceso de selección interna de candidaturas de diputaciones federales y senadurías , de manera general, lo que involucra las que corresponden al principio de mayoría relativa ( cuya competencia recae en las Salas Regionales ) , así como las del principio de representación proporcional ( cuya competencia recae en forma exclusiva en la Sala Superior ) . En el caso, resulta aplicable la Jurisprudencia 5/2004, con título: “CONTINENCIA DE LA CAUSA. ES INACEPTABLE DIVIDIRLA PARA SU IMPUGNACIÓN” [5] . SEGUNDA. Improcedencia y desechamiento . Al margen de que en el p"
SUP-AG-182/2024,rp,1,"82 /202 4 PONENTE: MAGISTRADO FELIPE DE LA MATA PIZAÑA [1] Ciudad de México, once de septiembre de do s mil veinti cuatro . Sentencia que desecha el escrito presentad o por Juventino Mejía Labastida , relacionado con la asignación de diputaciones y senadurías por el principio de representación proporcional , porque el acto reclamado se ha consumado de manera irreparable . ÍNDICE GLOSARIO I. ANTECEDENTES II. COMPETENCIA III. IMPROCEDENCIA IV. RESOLUTIVO GLOSARIO CPEUM : Constitución Política de los Estados Unidos Mexicanos . INE: Instituto Nacional Electoral. LGSMIME : Ley General"
SUP-AG-182/2024,rp,2,". 3 . Asignación de diputaciones y senadurías . El veintitrés de agosto, el Consejo General del INE aprobó los a cuerdo s INE/CG2129/2024 y INE/CG21 30 /2024, por el que efectuó el cómputo total, declaró la validez de la elección de diputaciones y senadurías por el principio de representación proporcional y se asign aron los escaños correspondientes a cada instituto político . 4. Confirmación de asignación de escaños . El veintiocho de agosto, la Sala Superior , al resolver distintos medios de impugnación, confirmó la asignación de curules que realizó el Consejo General del INE."
SUP-AG-182/2024,rp,3,"dios de impugnación, confirmó la asignación de curules que realizó el Consejo General del INE. [3] 5 . Escrito . El primero de septiembre , el promovente presentó escrito , a efecto de que le sea asignada a él y otras personas divers as candidaturas o escaños por el principio de representación proporcional para los cargos de diputaciones federales y senadurías . 6 . Trámite. L a presidencia de este órgano jurisdiccional ordenó integrar el expediente SUP- AG - 182 /202 4 y turnarlo a la ponencia del magistrado Felipe de la Mata Pizañ a. II. COMPETENCIA La Sala Superior es competent"
SUP-AG-182/2024,rp,4,"que , con independencia de que se actualice otra causal , el acto se ha consumado de modo irreparable , al haber culminado las etapas de registro de candidaturas , de jornada electoral, de validación de la elección y de asignación de diputaciones y senadurías por el principio de representación proporcional dentro del proceso electoral 2023-2024 , y haberse efectuado la instalación de las cámaras del Congreso de la Unión. 2 . Base normativa La legislación procesal electoral señala que el medio de impugnación será improcedente, entre otros casos, cuando los actos reclamados se hayan"
SUP-AG-182/2024,rp,5,"puesta, solicitaron al INE el registro respectivo. Solicita que esta Sala Superior le s con ceda, en su calidad de indígenas, “las asignaturas solicitadas en los listados adjuntos”, la cual se relaciona, en el caso específico del promovente, con una senaduría por el principio de representación proporcional. c ) Consideraciones de la Sala Superior L a pretensión de la parte promovente , quien se ostenta como indígena, es que le sea asignada una candidatura o escaño relativo a la senaduría por el principio de representación proporcional. Asimismo, solicita que le sean otorgad as otr"
SUP-AG-184/2024,rp,1,"tura de la Cámara de Diputaciones elegida en el proceso electoral federal 2023-2024 . (2) Lo anter i or, p orque considera que la transferencia implic ó una distorsión sobre lo previsto en los convenios de coalición , los resultados electorales y la asignac ión de las curules de representación proporcional , en beneficio de Morena. (3) Previo al estudio del fondo del asunto, e sta Sala Superior debe determinar el escrito presentado por el ciudadano satisface los requisitos de procedencia. 2. ANTECEDENTES (4) Proceso electoral federal. El 7 de septiembre de 2023 [2] inició el proce"
SUP-AG-184/2024,rp,2,"l Congreso de la Unión. (5) Jornada electoral. El 2 de junio de 2024 , se celebró la jornada electoral del proceso electoral federal 2023-2024, en la cual se eligieron, de entre otros cargos, las diputaciones federales del Congreso de la Unión . (6) Asignación de diputaciones de representación proporcional . El 23 de agosto, el Consejo General del INE aprobó el Acuerdo INE/CG2129/2024, por el que efectuó el cómputo total, declaró la validez de la elección de las diputaciones por el principio de representación proporcional y asignó a los partidos políticos nacionales Acción Naciona"
SUP-AG-184/2024,rp,3,"el Congreso de la Unión . (6) Asignación de diputaciones de representación proporcional . El 23 de agosto, el Consejo General del INE aprobó el Acuerdo INE/CG2129/2024, por el que efectuó el cómputo total, declaró la validez de la elección de las diputaciones por el principio de representación proporcional y asignó a los partidos políticos nacionales Acción Nacional, Revolucionario Institucional, del Trabajo, Verde Ecologista de México, Movimiento Ciudadano y M orena , las diputaciones que les corresponden bajo el principio referido para el periodo 2024-2027 . El 28 de agosto sigu"
SUP-AG-184/2024,rp,4,"(26) En esencia, l a persona promovente plantea que tal transferencia vulner a los principios de legalidad, certeza y seguridad jurídica , ya que implicó una distorsión sobre lo previsto en los convenios de coalición, los resultados electorales y la asignación de las curules de representación proporcional, en beneficio de Morena. (27) Sin embargo, esta Sala Superior considera que el ciudadano carece de interés jurídico o legítimo para controvertir la cuestión que planteó, ya que no le causa ning ún perjuicio real, directo e inmediato en su esfera de derechos político-electorales"
