expediente,year,medio,tema_inventario,sentido_probable,texto_chars,categorias_detectadas,decision_revision,url_oficial,archivo_local,file_size
SUP-RAP-352/2024,2024,RAP,fiscalizacion federal,confirma,76662,"fiscalizacion, rebase_tope, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0352-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-0352-2024-.html,256040
SUP-RAP-357/2024,2024,RAP,fiscalizacion federal,revoca / confirma,122771,"fiscalizacion, rebase_tope, rp, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0357-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-0357-2024-.html,549940
SUP-RAP-413/2024,2024,RAP,fiscalizacion federal,revoca,192799,"fiscalizacion, rebase_tope, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0413-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-0413-2024-.html,1737428
SUP-RAP-414/2024,2024,RAP,competencia fiscalizacion candidato,no detectado,14641,"fiscalizacion, rebase_tope, rp, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0414-2024-Acuerdo1,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-0414-2024-Acuerdo1.html,87757
SUP-RAP-415/2024,2024,RAP,competencia fiscalizacion candidato,no detectado,17016,"fiscalizacion, rp, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0415-2024-Acuerdo1,documents/diputaciones_2023_2024/tepjf_html/SUP-RAP-0415-2024-Acuerdo1.html,140649
SUP-REC-761/2024,2024,REC,reconsideracion jin,no detectado,5814,constancia_mayoria,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-REC-0761-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-REC-0761-2024-.html,200190
SUP-REC-763/2024,2024,REC,reconsideracion jin,no detectado,26821,"nulidad, rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-REC-0763-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-REC-0763-2024-.html,200434
SUP-REC-764/2024,2024,REC,reconsideracion jin,confirma,32561,"nulidad, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-REC-0764-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-REC-0764-2024-.html,126942
SUP-REC-1142/2024,2024,REC,reconsideracion jin,desecha,7686,constancia_mayoria,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-REC-1142-2024,documents/diputaciones_2023_2024/tepjf_html/SUP-REC-1142-2024.html,200154
SUP-REC-4505/2024,2024,REC,asignacion rp,confirma,29656,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-REC-4505-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-REC-4505-2024-.html,106084
SUP-REC-6450/2024,2024,REC,asignacion rp,desecha,9492,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-REC-6450-2024-,documents/diputaciones_2023_2024/tepjf_html/SUP-REC-6450-2024-.html,66145
SCM-JIN-27/2024,2024,JIN,jin computo distrital,confirma / modifica,15412,"fiscalizacion, rebase_tope, nulidad, rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SCM-JIN-0027-2024-,documents/diputaciones_2023_2024/tepjf_html/SCM-JIN-0027-2024-.html,200329
SCM-JIN-30/2024,2024,JIN,jin computo distrital,no detectado,25475,"nulidad, rp, inelegibilidad, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SCM-JIN-0030-2024-,documents/diputaciones_2023_2024/tepjf_html/SCM-JIN-0030-2024-.html,200512
SCM-JIN-56/2024,2024,JIN,jin computo distrital,confirma / modifica,38026,"nulidad, rp, propaganda, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SCM-JIN-0056-2024-,documents/diputaciones_2023_2024/tepjf_html/SCM-JIN-0056-2024-.html,200714
SCM-JIN-103/2024,2024,JIN,jin computo distrital,confirma / modifica,31511,"nulidad, rp, propaganda, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SCM-JIN-0103-2024-,documents/diputaciones_2023_2024/tepjf_html/SCM-JIN-0103-2024-.html,200600
SCM-RAP-47/2024,2024,RAP,fiscalizacion candidato,revoca,30511,"fiscalizacion, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SCM-RAP-0047-2024-,documents/diputaciones_2023_2024/tepjf_html/SCM-RAP-0047-2024-.html,200604
SG-JDC-111/2024,2024,JDC,registro candidatura,desecha / sobresee,21570,sin categoria detectada,descargada_sin_marca_tematicamente_relevante,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SG-JDC-0111-2024-,documents/diputaciones_2023_2024/tepjf_html/SG-JDC-0111-2024-.html,123025
SG-JIN-10/2024,2024,JIN,jin computo distrital,no detectado,9342,"inelegibilidad, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SG-JIN-0010-2024-,documents/diputaciones_2023_2024/tepjf_html/SG-JIN-0010-2024-.html,200208
SG-JIN-143/2024,2024,JIN,jin computo distrital,desecha,23662,"nulidad, rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SG-JIN-0143-2024-,documents/diputaciones_2023_2024/tepjf_html/SG-JIN-0143-2024-.html,119510
SG-JIN-147/2024,2024,JIN,jin computo distrital,modifica,5937,"nulidad, rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SG-JIN-0147-2024-,documents/diputaciones_2023_2024/tepjf_html/SG-JIN-0147-2024-.html,200092
SG-JRC-221/2024,2024,JRC,diputaciones locales sonora,no detectado,7166,rp,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SG-JRC-0221-2024-,documents/diputaciones_2023_2024/tepjf_html/SG-JRC-0221-2024-.html,200152
SM-AG-39/2024,2024,AG,encauzamiento computo distrital,no detectado,18416,"rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-AG-0039-2024-Acuerdo1,documents/diputaciones_2023_2024/tepjf_html/SM-AG-0039-2024-Acuerdo1.html,107148
SM-JDC-132/2024,2024,JDC,sustitucion candidatura,confirma,51464,"rp, inelegibilidad",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-JDC-0132-2024-,documents/diputaciones_2023_2024/tepjf_html/SM-JDC-0132-2024-.html,200879
SM-JIN-11/2024,2024,JIN,jin computo distrital,confirma,16156,"rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-JIN-0011-2024-,documents/diputaciones_2023_2024/tepjf_html/SM-JIN-0011-2024-.html,200272
SM-JIN-58/2024,2024,JIN,jin computo distrital,confirma / modifica,14265,"nulidad, rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-JIN-0058-2024-,documents/diputaciones_2023_2024/tepjf_html/SM-JIN-0058-2024-.html,200203
SM-JIN-82/2024,2024,JIN,jin computo distrital,confirma / modifica,13280,"nulidad, rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-JIN-0082-2024-,documents/diputaciones_2023_2024/tepjf_html/SM-JIN-0082-2024-.html,200207
SM-JIN-109/2024,2024,JIN,jin computo distrital,confirma,15892,"nulidad, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-JIN-0109-2024-,documents/diputaciones_2023_2024/tepjf_html/SM-JIN-0109-2024-.html,200281
SM-JIN-146/2024,2024,JIN,jin computo distrital,desecha,19902,"nulidad, rp, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SM-JIN-0146-2024-,documents/diputaciones_2023_2024/tepjf_html/SM-JIN-0146-2024-.html,200433
ST-JDC-69/2024,2024,JDC,registro precandidatura,no detectado,77584,inelegibilidad,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/ST-JDC-0069-2024-,documents/diputaciones_2023_2024/tepjf_html/ST-JDC-0069-2024-.html,201290
ST-JIN-85/2024,2024,JIN,jin computo distrital,confirma,21436,"nulidad, constancia_mayoria",incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/ST-JIN-0085-2024-,documents/diputaciones_2023_2024/tepjf_html/ST-JIN-0085-2024-.html,200383
ST-RAP-50/2024,2024,RAP,fiscalizacion precandidatura,no detectado,23815,"fiscalizacion, propaganda",incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/ST-RAP-0050-2024-,documents/diputaciones_2023_2024/tepjf_html/ST-RAP-0050-2024-.html,200458
ST-RAP-74/2024,2024,RAP,fiscalizacion candidato,sobresee,6914,fiscalizacion,incluida_expediente_base_o_fiscalizacion,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/ST-RAP-0074-2024-,documents/diputaciones_2023_2024/tepjf_html/ST-RAP-0074-2024-.html,200137
SRE-PSC-565/2024,2024,PSC,diputada federal,desecha,20975,propaganda,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SRE-PSC-0565-2024-,documents/diputaciones_2023_2024/tepjf_html/SRE-PSC-0565-2024-.html,200492
SRE-PSD-36/2024,2024,PSD,propaganda candidata diputada federal,no detectado,24981,propaganda,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SRE-PSD-0036-2024-,documents/diputaciones_2023_2024/tepjf_html/SRE-PSD-0036-2024-.html,200554
SRE-PSD-80/2024,2024,PSD,propaganda candidato diputado federal,no detectado,18524,propaganda,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SRE-PSD-0080-2024-,documents/diputaciones_2023_2024/tepjf_html/SRE-PSD-0080-2024-.html,200395
SRE-PSD-85/2024,2024,PSD,propaganda candidato diputado federal,no detectado,17349,propaganda,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SRE-PSD-0085-2024-,documents/diputaciones_2023_2024/tepjf_html/SRE-PSD-0085-2024-.html,200305
SRE-PSD-87/2024,2024,PSD,propaganda candidato diputado federal,no detectado,10288,propaganda,incluida_contexto_corpus,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SRE-PSD-0087-2024-,documents/diputaciones_2023_2024/tepjf_html/SRE-PSD-0087-2024-.html,200248
SUP-RAP-0104-2025,2025,RAP,candidata_revision_2025,pendiente_revision_humana,0,pendiente descarga o lectura,pendiente_descarga_para_confirmar,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0104-2025-,documents/federal/tepjf_html/SUP-RAP-0104-2025.html,
SUP-RAP-0018-2025,2025,RAP,candidata_revision_2025,pendiente_revision_humana,53087,"diputaciones_federales, fiscalizacion, campana_2023_2024, precampana, cumplimiento",pendiente_incorporacion_2025,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0018-2025-,documents/federal/tepjf_html/SUP-RAP-0018-2025.html,
SUP-RAP-0108-2025,2025,RAP,candidata_revision_2025,pendiente_revision_humana,24777,"diputaciones_federales, fiscalizacion, cumplimiento",pendiente_incorporacion_2025,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0108-2025-,documents/federal/tepjf_html/SUP-RAP-0108-2025.html,
